Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
V2META10079_1_2_2_2_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	80	0.0748	0.0209	0.0510	0.0563	0.0262	0.0260	0.0577	0.0082	0.0646	0.0753	0.0175	0.0496	0.0700	0.0220	0.0597	0.0478	0.1295	0.0490	0.0472	0.0466	0.3836	0.6164	0.4954	0.5046	0.1330	0.7695	0.0974	0.1238	0.0077	0.0034	0.0061	0.0081	0.0066	0.0044	0.0054	0.0020	0.0065	0.0093	0.0046	0.0071	0.0086	0.0050	0.0084	0.0058	0.0083	0.0063	0.0053	0.0045	0.0125	0.0125	0.0132	0.0132	0.0088	0.0107	0.0078	867.49856	1501	1.00000	0.8143	0.0000	0.0000	0.1857	0.0000	0.0000	0.3284	0.0000	0.0000	0.0000	0.0000
V2META10079_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	85	0.0673	0.0130	0.0605	0.0542	0.0389	0.0321	0.0550	0.0025	0.0543	0.0786	0.0204	0.0499	0.0680	0.0276	0.0585	0.0550	0.1241	0.0459	0.0547	0.0397	0.3671	0.6329	0.5044	0.4956	0.1336	0.7615	0.1049	0.0837	0.0058	0.0022	0.0035	0.0043	0.0038	0.0035	0.0054	0.0004	0.0062	0.0063	0.0040	0.0039	0.0053	0.0032	0.0044	0.0047	0.0065	0.0039	0.0043	0.0019	0.0076	0.0076	0.0077	0.0077	0.0046	0.0067	0.0047	505.846019999999	1596	1.00000	0.9251	0.0000	0.0000	0.0749	0.0000	0.0000	0.1893	0.0000	0.0000	0.0000	0.0000
V2META10102_1_2_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	71	0.0610	0.0125	0.0568	0.0679	0.0259	0.0306	0.0527	0.0041	0.0402	0.0806	0.0343	0.0587	0.0677	0.0148	0.0713	0.0691	0.1283	0.0447	0.0314	0.0475	0.3779	0.6221	0.4976	0.5024	0.1333	0.7389	0.1278	0.1052	0.0054	0.0024	0.0043	0.0071	0.0053	0.0055	0.0064	0.0014	0.0053	0.0078	0.0047	0.0054	0.0086	0.0033	0.0074	0.0055	0.0064	0.0049	0.0050	0.0033	0.0131	0.0131	0.0102	0.0102	0.0061	0.0091	0.0054	550.346859999999	1330	1.00000	0.9328	0.0000	0.0000	0.0672	0.0000	0.0000	0.3173	0.0000	0.0000	0.0000	0.0000
V2META10102_2_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	76	0.0549	0.0102	0.0637	0.0665	0.0264	0.0304	0.0832	0.0082	0.0486	0.0528	0.0342	0.0634	0.0759	0.0155	0.0910	0.0641	0.0850	0.0590	0.0352	0.0317	0.3403	0.6597	0.5201	0.4799	0.1360	0.7365	0.1275	0.0551	0.0036	0.0015	0.0026	0.0046	0.0026	0.0016	0.0031	0.0006	0.0041	0.0034	0.0022	0.0028	0.0042	0.0018	0.0036	0.0034	0.0034	0.0032	0.0019	0.0013	0.0052	0.0052	0.0038	0.0038	0.0040	0.0045	0.0024	240.28482	1425	1.00000	0.9722	0.0000	0.0000	0.0278	0.0000	0.0000	0.2383	0.0909	0.1534	0.1648	0.1847
V2META10136_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	60	0.0584	0.0241	0.0578	0.0274	0.0379	0.0370	0.0606	0.0098	0.0574	0.0612	0.0240	0.0580	0.0523	0.0287	0.0540	0.0771	0.1117	0.0505	0.0827	0.0293	0.3699	0.6301	0.5200	0.4800	0.1219	0.7431	0.1350	0.1171	0.0074	0.0029	0.0047	0.0050	0.0074	0.0052	0.0080	0.0049	0.0078	0.0059	0.0047	0.0063	0.0059	0.0039	0.0056	0.0058	0.0080	0.0044	0.0072	0.0061	0.0155	0.0155	0.0147	0.0147	0.0067	0.0097	0.0088	742.155279999999	1121	1.00000	0.7118	0.0000	0.0000	0.2882	0.0000	0.0000	0.5597	0.0000	0.0000	0.0000	0.0000
V2META10141_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	79	0.0422	0.0182	0.0491	0.0383	0.0537	0.0434	0.0628	0.0064	0.0462	0.0938	0.0402	0.0671	0.0655	0.0323	0.0643	0.0513	0.1196	0.0290	0.0475	0.0288	0.3492	0.6508	0.5362	0.4638	0.1566	0.7250	0.1184	0.0977	0.0059	0.0029	0.0038	0.0048	0.0057	0.0039	0.0059	0.0006	0.0056	0.0078	0.0055	0.0046	0.0059	0.0045	0.0070	0.0037	0.0072	0.0041	0.0049	0.0031	0.0097	0.0097	0.0092	0.0092	0.0046	0.0061	0.0042	552.98866	1482	1.00000	0.9440	0.0000	0.0000	0.0560	0.0000	0.0000	0.2312	0.0189	0.0315	0.0410	0.0568
V2META10144_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	90	0.0963	0.0209	0.0667	0.0543	0.0375	0.0167	0.0453	0.0061	0.0535	0.0764	0.0264	0.0638	0.0793	0.0130	0.0797	0.0721	0.0924	0.0418	0.0310	0.0267	0.3587	0.6413	0.4952	0.5048	0.1217	0.7424	0.1359	0.0865	0.0073	0.0032	0.0035	0.0057	0.0041	0.0026	0.0041	0.0009	0.0053	0.0061	0.0040	0.0042	0.0068	0.0028	0.0056	0.0058	0.0050	0.0042	0.0029	0.0020	0.0083	0.0083	0.0087	0.0087	0.0046	0.0065	0.0038	586.922969999998	1691	1.00000	0.9336	0.0000	0.0000	0.0664	0.0000	0.0000	0.1338	0.0000	0.0000	0.0000	0.0000
V2META10144_2_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	85	0.0880	0.0154	0.0691	0.0534	0.0298	0.0117	0.0479	0.0044	0.0496	0.0751	0.0326	0.0687	0.0795	0.0214	0.0817	0.0740	0.0967	0.0415	0.0255	0.0340	0.3630	0.6370	0.4884	0.5116	0.1230	0.7343	0.1426	0.0796	0.0043	0.0020	0.0033	0.0043	0.0044	0.0018	0.0039	0.0012	0.0062	0.0057	0.0042	0.0045	0.0047	0.0029	0.0059	0.0050	0.0052	0.0050	0.0026	0.0023	0.0069	0.0069	0.0074	0.0074	0.0047	0.0072	0.0053	522.941570000001	1596	1.00000	0.9070	0.0000	0.0000	0.0930	0.0000	0.0000	0.2052	0.0000	0.0000	0.0000	0.0000
V2META10144_2_2_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	89	0.0976	0.0194	0.0555	0.0609	0.0364	0.0100	0.0461	0.0000	0.0698	0.0743	0.0258	0.0610	0.0968	0.0157	0.0840	0.0644	0.1051	0.0301	0.0175	0.0298	0.3597	0.6403	0.4880	0.5120	0.1204	0.7543	0.1254	0.0768	0.0051	0.0029	0.0037	0.0048	0.0044	0.0020	0.0039	0.0000	0.0056	0.0044	0.0039	0.0046	0.0058	0.0023	0.0063	0.0040	0.0047	0.0042	0.0026	0.0019	0.0078	0.0078	0.0059	0.0059	0.0039	0.0063	0.0036	529.958759999999	1672	1.00000	0.9364	0.0000	0.0000	0.0636	0.0000	0.0000	0.1409	0.0000	0.0000	0.0000	0.0000
V2META10155_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	72	0.0637	0.0138	0.0652	0.0570	0.0362	0.0339	0.0460	0.0147	0.0449	0.0634	0.0205	0.0591	0.0567	0.0254	0.0710	0.0542	0.1349	0.0317	0.0494	0.0584	0.4125	0.5875	0.4656	0.5344	0.1094	0.7773	0.1133	0.1194	0.0073	0.0036	0.0045	0.0060	0.0059	0.0044	0.0055	0.0022	0.0078	0.0062	0.0039	0.0066	0.0067	0.0048	0.0084	0.0069	0.0088	0.0048	0.0058	0.0095	0.0125	0.0125	0.0110	0.0110	0.0057	0.0100	0.0068	702.32	1349	1.00000	0.8594	0.0000	0.0000	0.1406	0.0000	0.0000	0.3621	0.0000	0.0000	0.0000	0.0000
V2META10161_1_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	62	0.0488	0.0114	0.0410	0.0519	0.0489	0.0285	0.0637	0.0152	0.0472	0.0707	0.0356	0.0534	0.0534	0.0266	0.0566	0.0839	0.1413	0.0493	0.0404	0.0321	0.3701	0.6299	0.5355	0.4645	0.1344	0.7283	0.1373	0.0844	0.0040	0.0022	0.0032	0.0039	0.0040	0.0040	0.0047	0.0015	0.0049	0.0050	0.0029	0.0062	0.0054	0.0028	0.0052	0.0076	0.0058	0.0052	0.0036	0.0026	0.0095	0.0095	0.0104	0.0104	0.0057	0.0135	0.0110	643.588969999999	1159	1.00000	0.8019	0.0000	0.0000	0.1981	0.0000	0.0000	0.4875	0.0000	0.0000	0.0000	0.0000
V2META10174_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	72	0.0840	0.0135	0.0831	0.0445	0.0367	0.0363	0.0591	0.0160	0.0577	0.0435	0.0322	0.0505	0.0881	0.0231	0.0685	0.0664	0.0802	0.0345	0.0379	0.0441	0.3629	0.6371	0.4659	0.5341	0.1026	0.7805	0.1169	0.1175	0.0093	0.0034	0.0074	0.0058	0.0064	0.0063	0.0075	0.0024	0.0059	0.0064	0.0039	0.0055	0.0067	0.0041	0.0074	0.0059	0.0080	0.0053	0.0042	0.0059	0.0086	0.0086	0.0093	0.0093	0.0069	0.0102	0.0058	929.209419999999	1349	1.00000	0.6162	0.0000	0.0000	0.3838	0.0000	0.0000	0.5426	0.0000	0.0000	0.0000	0.0000
V2META10184_1_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	74	0.0910	0.0260	0.1022	0.0520	0.0208	0.0358	0.0421	0.0230	0.0514	0.0463	0.0310	0.0283	0.0973	0.0164	0.0746	0.0309	0.1161	0.0101	0.0680	0.0368	0.4404	0.5596	0.3600	0.6400	0.0885	0.8523	0.0592	0.1062	0.0095	0.0039	0.0050	0.0057	0.0034	0.0042	0.0054	0.0031	0.0058	0.0055	0.0056	0.0046	0.0102	0.0030	0.0084	0.0038	0.0062	0.0028	0.0068	0.0033	0.0122	0.0122	0.0131	0.0131	0.0078	0.0101	0.0059	725.9267	1387	1.00000	0.8257	0.0000	0.0000	0.1743	0.0000	0.0000	0.3701	0.0000	0.0000	0.0000	0.0000
V2META10187_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	76	0.0807	0.0203	0.0572	0.0544	0.0371	0.0280	0.0485	0.0041	0.0640	0.0584	0.0219	0.0576	0.0785	0.0239	0.0600	0.0633	0.1146	0.0434	0.0543	0.0298	0.3654	0.6346	0.4989	0.5011	0.1069	0.7722	0.1209	0.1134	0.0081	0.0034	0.0059	0.0072	0.0054	0.0035	0.0060	0.0011	0.0072	0.0060	0.0045	0.0046	0.0080	0.0038	0.0089	0.0061	0.0092	0.0065	0.0047	0.0039	0.0095	0.0095	0.0111	0.0111	0.0074	0.0111	0.0061	936.71798	1425	1.00000	0.7706	0.0000	0.0000	0.2294	0.0000	0.0000	0.3962	0.0000	0.0000	0.0000	0.0000
V2META10192_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	55	0.0709	0.0163	0.0649	0.0453	0.0310	0.0395	0.0730	0.0141	0.0576	0.0460	0.0215	0.0598	0.0747	0.0220	0.0432	0.0547	0.1066	0.0455	0.0704	0.0432	0.3698	0.6302	0.4905	0.5095	0.1189	0.7666	0.1145	0.1131	0.0086	0.0034	0.0069	0.0044	0.0065	0.0046	0.0056	0.0029	0.0058	0.0065	0.0041	0.0054	0.0064	0.0044	0.0067	0.0059	0.0088	0.0065	0.0060	0.0040	0.0104	0.0104	0.0115	0.0115	0.0040	0.0069	0.0057	685.630209999999	1026	1.00000	0.7193	0.0000	0.0000	0.2807	0.0000	0.0000	0.5922	0.0000	0.0000	0.0000	0.0000
V2META10192_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	72	0.0636	0.0188	0.0659	0.0547	0.0342	0.0490	0.0578	0.0116	0.0492	0.0553	0.0210	0.0687	0.0718	0.0323	0.0511	0.0718	0.0947	0.0316	0.0496	0.0475	0.3391	0.6609	0.5233	0.4767	0.1131	0.7464	0.1405	0.0997	0.0072	0.0025	0.0052	0.0055	0.0047	0.0049	0.0052	0.0018	0.0045	0.0062	0.0030	0.0058	0.0066	0.0042	0.0056	0.0058	0.0087	0.0050	0.0041	0.0036	0.0102	0.0102	0.0096	0.0096	0.0052	0.0092	0.0091	800.412680000001	1349	1.00000	0.8481	0.0000	0.0000	0.1519	0.0000	0.0000	0.3705	0.0000	0.0000	0.0000	0.0000
V2META10192_2_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	65	0.0718	0.0267	0.0922	0.0491	0.0253	0.0441	0.0509	0.0179	0.0576	0.0311	0.0124	0.0570	0.0736	0.0159	0.0445	0.0538	0.1449	0.0295	0.0582	0.0434	0.3931	0.6069	0.4410	0.5590	0.0820	0.8071	0.1108	0.1361	0.0114	0.0048	0.0063	0.0070	0.0051	0.0051	0.0086	0.0032	0.0085	0.0066	0.0038	0.0075	0.0080	0.0053	0.0076	0.0073	0.0117	0.0049	0.0081	0.0048	0.0136	0.0136	0.0127	0.0127	0.0110	0.0121	0.0088	793.809749999999	1216	1.00000	0.7612	0.0000	0.0000	0.2388	0.0000	0.0000	0.4899	0.0000	0.0000	0.0000	0.0000
V2META10197_2_1_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	74	0.0750	0.0163	0.0904	0.0562	0.0331	0.0164	0.0504	0.0038	0.0574	0.0674	0.0255	0.0515	0.1095	0.0272	0.0640	0.0575	0.0899	0.0316	0.0437	0.0330	0.3349	0.6651	0.4652	0.5348	0.1179	0.7731	0.1090	0.1239	0.0089	0.0047	0.0056	0.0063	0.0046	0.0045	0.0071	0.0013	0.0070	0.0094	0.0057	0.0056	0.0093	0.0049	0.0090	0.0070	0.0077	0.0053	0.0054	0.0048	0.0109	0.0109	0.0101	0.0101	0.0060	0.0097	0.0077	822.7481	1387	1.00000	0.8187	0.0000	0.0000	0.1813	0.0000	0.0000	0.3754	0.0000	0.0000	0.0000	0.0000
V2META10197_2_2_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	93	0.0591	0.0190	0.0848	0.0587	0.0315	0.0228	0.0485	0.0104	0.0429	0.0882	0.0291	0.0579	0.0842	0.0241	0.0668	0.0790	0.0830	0.0261	0.0457	0.0384	0.3323	0.6677	0.4988	0.5012	0.1367	0.7264	0.1369	0.1042	0.0068	0.0037	0.0041	0.0066	0.0049	0.0042	0.0051	0.0012	0.0059	0.0056	0.0045	0.0059	0.0072	0.0042	0.0075	0.0062	0.0063	0.0042	0.0055	0.0048	0.0094	0.0094	0.0091	0.0091	0.0046	0.0077	0.0057	644.051409999999	1748	1.00000	0.9328	0.0000	0.0000	0.0672	0.0000	0.0000	0.1056	0.0000	0.0000	0.0000	0.0000
V2META10203_1_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	81	0.0777	0.0060	0.0521	0.0427	0.0349	0.0334	0.0647	0.0000	0.0445	0.0703	0.0281	0.0775	0.0728	0.0184	0.0727	0.0770	0.0930	0.0529	0.0357	0.0457	0.3528	0.6472	0.5223	0.4777	0.1349	0.7105	0.1545	0.0715	0.0045	0.0016	0.0027	0.0040	0.0039	0.0038	0.0052	0.0000	0.0066	0.0052	0.0033	0.0032	0.0042	0.0019	0.0033	0.0043	0.0048	0.0040	0.0021	0.0027	0.0091	0.0091	0.0079	0.0079	0.0049	0.0075	0.0038	321.364769999999	1520	1.00000	0.9243	0.0000	0.0000	0.0757	0.0000	0.0000	0.2282	0.0000	0.0000	0.0000	0.0000
V2META10203_2_2_1_42_Calc_Hmm10_BMGE05	0 All_Taxa	74	0.0836	0.0124	0.0585	0.0477	0.0347	0.0217	0.0585	0.0000	0.0401	0.0805	0.0313	0.0756	0.0670	0.0123	0.0687	0.0903	0.1049	0.0415	0.0276	0.0431	0.3592	0.6408	0.5153	0.4847	0.1390	0.6951	0.1659	0.0761	0.0052	0.0022	0.0041	0.0034	0.0045	0.0027	0.0035	0.0000	0.0059	0.0047	0.0033	0.0041	0.0048	0.0023	0.0051	0.0059	0.0049	0.0032	0.0029	0.0036	0.0077	0.0077	0.0095	0.0095	0.0039	0.0073	0.0050	402.244	1387	1.00000	0.8920	0.0000	0.0000	0.1080	0.0000	0.0000	0.3195	0.0000	0.0000	0.0000	0.0000
V2META10224_1_2_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	70	0.0889	0.0140	0.0769	0.0734	0.0537	0.0478	0.0517	0.0106	0.0559	0.0583	0.0200	0.0596	0.0518	0.0199	0.0739	0.0674	0.0688	0.0498	0.0426	0.0147	0.3197	0.6803	0.5516	0.4484	0.1101	0.7629	0.1270	0.0753	0.0070	0.0035	0.0036	0.0036	0.0039	0.0040	0.0050	0.0005	0.0042	0.0039	0.0038	0.0043	0.0042	0.0024	0.0030	0.0056	0.0033	0.0042	0.0030	0.0023	0.0066	0.0066	0.0077	0.0077	0.0021	0.0057	0.0043	262.12917	1311	1.00000	0.9453	0.0000	0.0000	0.0547	0.0000	0.0000	0.3179	0.0000	0.0000	0.0000	0.0000
V2META10237_2_42_Calc_Hmm10_BMGE05	0 All_Taxa	78	0.0513	0.0137	0.0384	0.0437	0.0324	0.0375	0.0653	0.0050	0.0554	0.1027	0.0322	0.0595	0.0589	0.0228	0.0573	0.0765	0.1371	0.0445	0.0494	0.0161	0.3485	0.6515	0.5542	0.4458	0.1680	0.6959	0.1360	0.1141	0.0100	0.0028	0.0053	0.0067	0.0071	0.0038	0.0057	0.0013	0.0072	0.0089	0.0055	0.0053	0.0057	0.0038	0.0070	0.0066	0.0087	0.0059	0.0043	0.0023	0.0127	0.0127	0.0130	0.0130	0.0067	0.0097	0.0074	927.375599999999	1463	1.00000	0.8122	0.0000	0.0000	0.1878	0.0000	0.0000	0.3469	0.0000	0.0000	0.0000	0.0000
