Basefrequencies
File	Taxon	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	p(gap)	p(Ambiguity) [X]	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (V)	Absolute Deviation (L)	Absolute Deviation (I)	Absolute Deviation (P)	Absolute Deviation (M)	Absolute Deviation (F)	Absolute Deviation (W)	Absolute Deviation (G)	Absolute Deviation (S)	Absolute Deviation (T)	Absolute Deviation (C)	Absolute Deviation (N)	Absolute Deviation (Q)	Absolute Deviation (Y)	Absolute Deviation (D)	Absolute Deviation (E)	Absolute Deviation (K)	Absolute Deviation (R)	Absolute Deviation (H)	Absolute Deviation (Hydrophobic)	Absolute Deviation (Hydrophilic)	Absolute Deviation (Polar)	Absolute Deviation (Nonpolar)	Absolute Deviation (Positive)	Absolute Deviation (Neutral)	Absolute Deviation (Negative)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity) [X]	p_uninformative sites
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Chondrilla_nucula	0.0647	0.0217	0.0541	0.0512	0.0351	0.0391	0.0544	0.0154	0.0637	0.0666	0.0268	0.0539	0.0782	0.0272	0.0593	0.0646	0.1015	0.0377	0.0460	0.0389	0.3525	0.6475	0.5152	0.4848	0.1209	0.7605	0.1185	0.1781	0.3386	0.0005	0.0041	0.0009	0.0017	0.0009	0.0024	0.0025	0.0010	0.0022	0.0003	0.0015	0.0011	0.0003	0.0049	0.0018	0.0035	0.0017	0.0034	0.0013	0.0020	0.0004	0.0119	0.0119	0.0051	0.0051	0.0014	0.0041	0.0026	0.0652	0.0623	0.5167
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Pleurobrachia_atlantica	0.0635	0.0205	0.0526	0.0539	0.0386	0.0369	0.0543	0.0138	0.0673	0.0656	0.0258	0.0519	0.0763	0.0247	0.0630	0.0626	0.1043	0.0380	0.0477	0.0387	0.3568	0.6432	0.5143	0.4857	0.1199	0.7656	0.1145	0.1352	0.2437	0.0003	0.0053	0.0003	0.0002	0.0018	0.0011	0.0003	0.0011	0.0006	0.0039	0.0005	0.0001	0.0017	0.0030	0.0007	0.0002	0.0003	0.0006	0.0010	0.0003	0.0006	0.0076	0.0076	0.0042	0.0042	0.0004	0.0010	0.0014	0.0223	0.0326	0.3788
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Nematostella_vectensis	0.0684	0.0208	0.0525	0.0496	0.0361	0.0365	0.0535	0.0129	0.0633	0.0663	0.0271	0.0518	0.0747	0.0259	0.0627	0.0631	0.1053	0.0400	0.0489	0.0404	0.3658	0.6342	0.5070	0.4930	0.1198	0.7653	0.1149	0.0691	0.1077	0.0002	0.0004	0.0000	0.0001	0.0025	0.0014	0.0001	0.0019	0.0003	0.0001	0.0012	0.0014	0.0018	0.0014	0.0005	0.0001	0.0002	0.0004	0.0010	0.0009	0.0011	0.0014	0.0014	0.0031	0.0031	0.0003	0.0007	0.0010	0.0438	0.1686	0.1768
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Hydra_viridissima	0.0605	0.0204	0.0496	0.0498	0.0452	0.0364	0.0507	0.0138	0.0652	0.0748	0.0241	0.0555	0.0680	0.0241	0.0702	0.0679	0.1011	0.0366	0.0511	0.0351	0.3557	0.6443	0.5267	0.4733	0.1255	0.7511	0.1234	0.1118	0.5210	0.0011	0.0083	0.0004	0.0028	0.0023	0.0077	0.0002	0.0047	0.0006	0.0018	0.0097	0.0016	0.0019	0.0053	0.0013	0.0074	0.0050	0.0038	0.0024	0.0031	0.0042	0.0087	0.0087	0.0166	0.0166	0.0060	0.0135	0.0075	0.0011	0.2447	0.6328
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Strongylocentrotus_purpuratus	0.0690	0.0203	0.0526	0.0536	0.0369	0.0373	0.0554	0.0135	0.0619	0.0644	0.0280	0.0533	0.0727	0.0243	0.0611	0.0644	0.1043	0.0401	0.0485	0.0385	0.3628	0.6372	0.5119	0.4881	0.1198	0.7625	0.1177	0.1025	0.1257	0.0002	0.0002	0.0005	0.0002	0.0015	0.0006	0.0007	0.0000	0.0003	0.0015	0.0007	0.0023	0.0003	0.0006	0.0011	0.0017	0.0015	0.0006	0.0011	0.0005	0.0008	0.0016	0.0016	0.0018	0.0018	0.0003	0.0021	0.0018	0.0104	0.1506	0.2282
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Sympagella_nux	0.0585	0.0218	0.0487	0.0523	0.0385	0.0392	0.0559	0.0128	0.0713	0.0616	0.0227	0.0501	0.0694	0.0268	0.0664	0.0614	0.1127	0.0390	0.0507	0.0403	0.3640	0.6360	0.5178	0.4822	0.1175	0.7710	0.1115	0.0865	0.2013	0.0009	0.0103	0.0010	0.0037	0.0002	0.0010	0.0026	0.0005	0.0004	0.0079	0.0035	0.0030	0.0035	0.0039	0.0014	0.0036	0.0015	0.0078	0.0000	0.0027	0.0010	0.0004	0.0004	0.0077	0.0077	0.0020	0.0064	0.0044	0.0264	0.0750	0.2877
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Petrosia_ficiformis	0.0604	0.0227	0.0513	0.0546	0.0378	0.0379	0.0534	0.0125	0.0655	0.0626	0.0253	0.0526	0.0697	0.0278	0.0715	0.0632	0.1058	0.0381	0.0478	0.0397	0.3629	0.6371	0.5161	0.4839	0.1160	0.7682	0.1158	0.1894	0.2998	0.0006	0.0084	0.0019	0.0011	0.0025	0.0003	0.0013	0.0020	0.0007	0.0021	0.0025	0.0004	0.0010	0.0036	0.0024	0.0087	0.0003	0.0009	0.0009	0.0002	0.0004	0.0015	0.0015	0.0060	0.0060	0.0035	0.0036	0.0001	0.0765	0.0235	0.4892
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Hydra_oligactis	0.0577	0.0207	0.0494	0.0482	0.0461	0.0387	0.0503	0.0140	0.0693	0.0785	0.0243	0.0521	0.0658	0.0231	0.0703	0.0652	0.1000	0.0376	0.0541	0.0345	0.3550	0.6450	0.5299	0.4701	0.1288	0.7539	0.1173	0.1219	0.5983	0.0013	0.0111	0.0001	0.0030	0.0039	0.0086	0.0021	0.0051	0.0008	0.0059	0.0134	0.0014	0.0015	0.0075	0.0023	0.0075	0.0023	0.0049	0.0014	0.0061	0.0048	0.0094	0.0094	0.0198	0.0198	0.0093	0.0107	0.0014	0.0090	0.3220	0.7202
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Euplokamis_dunlapae	0.0666	0.0227	0.0565	0.0528	0.0399	0.0365	0.0484	0.0140	0.0632	0.0674	0.0287	0.0576	0.0739	0.0245	0.0631	0.0599	0.1031	0.0367	0.0461	0.0383	0.3600	0.6400	0.5096	0.4904	0.1158	0.7667	0.1174	0.1770	0.4335	0.0006	0.0022	0.0019	0.0041	0.0007	0.0024	0.0001	0.0070	0.0008	0.0002	0.0023	0.0030	0.0040	0.0006	0.0009	0.0003	0.0030	0.0018	0.0023	0.0019	0.0010	0.0044	0.0044	0.0005	0.0005	0.0037	0.0021	0.0015	0.0641	0.1572	0.6105
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Tubulanus_polymorphus	0.0659	0.0211	0.0519	0.0518	0.0412	0.0370	0.0511	0.0136	0.0623	0.0683	0.0273	0.0540	0.0692	0.0244	0.0695	0.0628	0.1023	0.0373	0.0497	0.0392	0.3675	0.6325	0.5114	0.4886	0.1194	0.7637	0.1169	0.1107	0.0619	0.0005	0.0029	0.0003	0.0005	0.0003	0.0037	0.0004	0.0043	0.0004	0.0011	0.0032	0.0016	0.0004	0.0041	0.0010	0.0067	0.0001	0.0026	0.0017	0.0017	0.0001	0.0031	0.0031	0.0013	0.0013	0.0001	0.0009	0.0010	0.0022	0.2144	0.1726
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Corticium_candelabrum	0.0711	0.0216	0.0531	0.0511	0.0340	0.0345	0.0599	0.0141	0.0623	0.0611	0.0248	0.0566	0.0777	0.0271	0.0599	0.0635	0.1007	0.0421	0.0468	0.0380	0.3554	0.6446	0.5137	0.4863	0.1210	0.7589	0.1201	0.2543	0.3422	0.0006	0.0023	0.0008	0.0007	0.0010	0.0035	0.0021	0.0045	0.0009	0.0011	0.0040	0.0009	0.0030	0.0044	0.0017	0.0029	0.0006	0.0042	0.0031	0.0012	0.0013	0.0090	0.0090	0.0036	0.0036	0.0015	0.0057	0.0042	0.1414	0.0659	0.5965
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Sphaeroforma_arctica	0.0769	0.0206	0.0598	0.0561	0.0371	0.0356	0.0565	0.0125	0.0600	0.0570	0.0309	0.0545	0.0789	0.0260	0.0571	0.0586	0.1020	0.0375	0.0441	0.0382	0.3616	0.6384	0.4997	0.5003	0.1136	0.7733	0.1131	0.1116	0.3360	0.0009	0.0081	0.0002	0.0074	0.0040	0.0004	0.0010	0.0011	0.0007	0.0034	0.0081	0.0052	0.0009	0.0056	0.0006	0.0057	0.0043	0.0029	0.0015	0.0039	0.0011	0.0028	0.0028	0.0104	0.0104	0.0059	0.0087	0.0028	0.0013	0.0597	0.4476
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Kirkpatrickia_variolosa	0.0662	0.0225	0.0520	0.0501	0.0345	0.0361	0.0555	0.0133	0.0666	0.0624	0.0278	0.0499	0.0753	0.0262	0.0596	0.0640	0.1105	0.0400	0.0476	0.0400	0.3649	0.6351	0.5077	0.4923	0.1180	0.7681	0.1139	0.0831	0.1652	0.0005	0.0026	0.0017	0.0004	0.0020	0.0030	0.0005	0.0001	0.0001	0.0032	0.0027	0.0021	0.0037	0.0020	0.0008	0.0032	0.0011	0.0056	0.0010	0.0004	0.0007	0.0005	0.0005	0.0024	0.0024	0.0015	0.0035	0.0020	0.0298	0.1111	0.2482
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Ircinia_fasciculata	0.0652	0.0252	0.0562	0.0533	0.0377	0.0370	0.0585	0.0136	0.0585	0.0669	0.0269	0.0536	0.0746	0.0257	0.0593	0.0646	0.0999	0.0424	0.0408	0.0401	0.3459	0.6541	0.5233	0.4767	0.1254	0.7565	0.1182	0.1994	0.5255	0.0007	0.0036	0.0044	0.0038	0.0012	0.0002	0.0004	0.0031	0.0004	0.0049	0.0018	0.0012	0.0000	0.0013	0.0003	0.0035	0.0017	0.0050	0.0034	0.0072	0.0008	0.0185	0.0185	0.0132	0.0132	0.0059	0.0081	0.0023	0.0865	0.2492	0.7249
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Homo_sapiens	0.0724	0.0213	0.0511	0.0504	0.0338	0.0359	0.0587	0.0138	0.0604	0.0604	0.0239	0.0494	0.0719	0.0261	0.0579	0.0660	0.1134	0.0428	0.0487	0.0416	0.3717	0.6283	0.5053	0.4947	0.1191	0.7655	0.1154	0.0055	0.0513	0.0008	0.0036	0.0005	0.0013	0.0017	0.0037	0.0007	0.0033	0.0006	0.0030	0.0047	0.0018	0.0042	0.0014	0.0007	0.0049	0.0031	0.0085	0.0038	0.0007	0.0023	0.0073	0.0073	0.0048	0.0048	0.0004	0.0009	0.0005	0.1074	0.2250	0.0568
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Capitella_teleta	0.0693	0.0211	0.0527	0.0507	0.0370	0.0360	0.0551	0.0135	0.0612	0.0631	0.0278	0.0536	0.0709	0.0270	0.0624	0.0629	0.1057	0.0404	0.0496	0.0401	0.3684	0.6316	0.5081	0.4919	0.1182	0.7653	0.1165	0.0319	0.0357	0.0003	0.0005	0.0003	0.0003	0.0014	0.0005	0.0006	0.0003	0.0003	0.0022	0.0020	0.0021	0.0000	0.0024	0.0016	0.0004	0.0000	0.0008	0.0014	0.0016	0.0008	0.0040	0.0040	0.0020	0.0020	0.0013	0.0007	0.0006	0.0810	0.2406	0.0676
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Vallicula_sp	0.0623	0.0209	0.0518	0.0523	0.0386	0.0373	0.0556	0.0123	0.0653	0.0680	0.0249	0.0544	0.0719	0.0247	0.0678	0.0640	0.1034	0.0386	0.0487	0.0373	0.3568	0.6432	0.5196	0.4804	0.1236	0.7580	0.1184	0.1856	0.3976	0.0004	0.0065	0.0001	0.0006	0.0002	0.0011	0.0007	0.0002	0.0009	0.0019	0.0029	0.0008	0.0008	0.0014	0.0007	0.0050	0.0011	0.0015	0.0004	0.0007	0.0020	0.0076	0.0076	0.0095	0.0095	0.0041	0.0066	0.0025	0.0727	0.1213	0.5832
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Salpingoeca_rosetta	0.0886	0.0199	0.0523	0.0565	0.0306	0.0316	0.0659	0.0125	0.0588	0.0546	0.0263	0.0548	0.0795	0.0294	0.0500	0.0624	0.1010	0.0414	0.0437	0.0404	0.3624	0.6376	0.5058	0.4942	0.1205	0.7623	0.1172	0.0622	0.1131	0.0014	0.0198	0.0009	0.0001	0.0044	0.0069	0.0050	0.0105	0.0007	0.0046	0.0105	0.0006	0.0012	0.0062	0.0040	0.0128	0.0005	0.0039	0.0024	0.0043	0.0011	0.0020	0.0020	0.0043	0.0043	0.0010	0.0023	0.0013	0.0507	0.1632	0.1753
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Periphylla_periphylla	0.0639	0.0202	0.0527	0.0499	0.0377	0.0357	0.0573	0.0137	0.0559	0.0799	0.0265	0.0570	0.0690	0.0237	0.0685	0.0705	0.0937	0.0368	0.0493	0.0381	0.3536	0.6464	0.5247	0.4753	0.1372	0.7353	0.1275	0.2584	0.3813	0.0010	0.0049	0.0006	0.0003	0.0022	0.0002	0.0009	0.0019	0.0005	0.0075	0.0148	0.0008	0.0034	0.0043	0.0017	0.0057	0.0076	0.0112	0.0022	0.0013	0.0012	0.0108	0.0108	0.0146	0.0146	0.0177	0.0293	0.0116	0.1455	0.1050	0.6397
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Mertensiidae_sp	0.0619	0.0213	0.0506	0.0516	0.0393	0.0360	0.0535	0.0125	0.0641	0.0695	0.0252	0.0579	0.0723	0.0245	0.0681	0.0637	0.1040	0.0402	0.0453	0.0386	0.3556	0.6444	0.5215	0.4785	0.1230	0.7555	0.1215	0.1168	0.5467	0.0005	0.0069	0.0005	0.0018	0.0005	0.0018	0.0006	0.0019	0.0007	0.0007	0.0044	0.0005	0.0043	0.0010	0.0009	0.0053	0.0008	0.0009	0.0012	0.0027	0.0007	0.0088	0.0088	0.0114	0.0114	0.0035	0.0091	0.0056	0.0039	0.2704	0.6636
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Oscarella_carmela	0.0736	0.0202	0.0530	0.0502	0.0335	0.0345	0.0587	0.0135	0.0666	0.0627	0.0236	0.0525	0.0755	0.0246	0.0590	0.0627	0.1082	0.0391	0.0495	0.0388	0.3661	0.6339	0.5054	0.4946	0.1214	0.7635	0.1151	0.0342	0.0483	0.0006	0.0048	0.0006	0.0006	0.0019	0.0040	0.0021	0.0033	0.0003	0.0032	0.0024	0.0021	0.0011	0.0022	0.0008	0.0038	0.0002	0.0033	0.0001	0.0015	0.0005	0.0017	0.0017	0.0047	0.0047	0.0019	0.0011	0.0008	0.0787	0.2280	0.0825
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Spongilla_alba	0.0708	0.0229	0.0523	0.0523	0.0335	0.0369	0.0583	0.0138	0.0638	0.0633	0.0254	0.0525	0.0746	0.0260	0.0569	0.0642	0.1060	0.0377	0.0461	0.0427	0.3616	0.6384	0.5115	0.4885	0.1216	0.7617	0.1167	0.1727	0.5038	0.0005	0.0020	0.0021	0.0001	0.0002	0.0040	0.0003	0.0029	0.0006	0.0004	0.0018	0.0003	0.0011	0.0013	0.0006	0.0059	0.0013	0.0011	0.0013	0.0019	0.0034	0.0028	0.0028	0.0014	0.0014	0.0021	0.0029	0.0008	0.0598	0.2275	0.6766
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Danio_rerio	0.0701	0.0219	0.0511	0.0506	0.0347	0.0357	0.0583	0.0135	0.0637	0.0601	0.0264	0.0507	0.0734	0.0252	0.0566	0.0653	0.1116	0.0425	0.0491	0.0395	0.3667	0.6333	0.5087	0.4913	0.1184	0.7656	0.1160	0.0189	0.0626	0.0006	0.0013	0.0011	0.0013	0.0015	0.0028	0.0009	0.0029	0.0003	0.0003	0.0050	0.0007	0.0029	0.0001	0.0002	0.0062	0.0024	0.0067	0.0035	0.0011	0.0002	0.0023	0.0023	0.0014	0.0014	0.0011	0.0010	0.0001	0.0940	0.2137	0.0815
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Rossella_fibulata	0.0592	0.0219	0.0491	0.0539	0.0389	0.0389	0.0536	0.0125	0.0719	0.0613	0.0219	0.0485	0.0690	0.0262	0.0658	0.0607	0.1168	0.0388	0.0512	0.0399	0.3673	0.6327	0.5145	0.4855	0.1149	0.7759	0.1092	0.1046	0.2900	0.0010	0.0096	0.0011	0.0033	0.0018	0.0014	0.0023	0.0018	0.0007	0.0085	0.0038	0.0038	0.0051	0.0043	0.0008	0.0030	0.0022	0.0119	0.0002	0.0032	0.0006	0.0029	0.0029	0.0044	0.0044	0.0046	0.0113	0.0067	0.0083	0.0137	0.3946
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Platygyra_carnosa	0.0788	0.0223	0.0567	0.0487	0.0320	0.0327	0.0587	0.0129	0.0602	0.0609	0.0273	0.0525	0.0759	0.0252	0.0532	0.0650	0.1077	0.0411	0.0461	0.0419	0.3679	0.6321	0.4995	0.5005	0.1196	0.7628	0.1175	0.2072	0.1665	0.0009	0.0100	0.0015	0.0043	0.0034	0.0055	0.0039	0.0033	0.0003	0.0032	0.0042	0.0016	0.0011	0.0026	0.0002	0.0096	0.0021	0.0028	0.0021	0.0019	0.0026	0.0035	0.0035	0.0106	0.0106	0.0001	0.0018	0.0016	0.0943	0.1098	0.3737
Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.phy	Trichoplax_adhaerens	0.0652	0.0212	0.0495	0.0511	0.0435	0.0406	0.0541	0.0128	0.0667	0.0665	0.0234	0.0527	0.0669	0.0243	0.0741	0.0605	0.1031	0.0380	0.0483	0.0373	0.3643	0.6357	0.5193	0.4807	0.1206	0.7662	0.1132	0.0613	0.0923	0.0008	0.0036	0.0004	0.0029	0.0010	0.0060	0.0040	0.0013	0.0004	0.0033	0.0014	0.0023	0.0009	0.0064	0.0011	0.0113	0.0024	0.0018	0.0010	0.0003	0.0020	0.0001	0.0001	0.0092	0.0092	0.0011	0.0016	0.0027	0.0516	0.1840	0.1535
