Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
rps19	0 All_Taxa	72	0.0921	0.0103	0.0919	0.0397	0.0184	0.0371	0.0923	0.0150	0.0639	0.0958	0.0130	0.0496	0.0906	0.0272	0.0489	0.0341	0.0747	0.0360	0.0317	0.0377	0.3131	0.6869	0.5045	0.4955	0.1882	0.7281	0.0837	0.1838	0.0142	0.0062	0.0126	0.0097	0.0089	0.0071	0.0103	0.0028	0.0116	0.0108	0.0067	0.0068	0.0130	0.0066	0.0122	0.0072	0.0127	0.0086	0.0085	0.0070	0.0218	0.0218	0.0159	0.0159	0.0124	0.0149	0.0072	646.28826	1349	1.00000	0.9785	0.0005	0.0000	0.0210	0.0009	0.0000	0.0851	0.0543	0.1163	0.1163	0.2248
rpl39	0 All_Taxa	66	0.0517	0.0006	0.0358	0.0598	0.0706	0.0219	0.1746	0.0394	0.0297	0.1734	0.0418	0.0030	0.0210	0.0355	0.0622	0.0000	0.0718	0.0445	0.0192	0.0436	0.3296	0.6704	0.6136	0.3864	0.3480	0.6490	0.0030	0.1833	0.0147	0.0010	0.0105	0.0121	0.0118	0.0040	0.0120	0.0012	0.0138	0.0178	0.0094	0.0046	0.0121	0.0072	0.0144	0.0000	0.0128	0.0105	0.0060	0.0072	0.0220	0.0220	0.0201	0.0201	0.0109	0.0116	0.0045	461.926219999997	1235	1.00000	0.9887	0.0000	0.0000	0.0113	0.0000	0.0000	0.1525	0.1176	0.3333	0.3333	0.3529
nsf1	0 All_Taxa	65	0.0651	0.0116	0.0669	0.0427	0.0312	0.0280	0.0811	0.0003	0.0446	0.0782	0.0326	0.0718	0.0650	0.0137	0.0673	0.0832	0.1086	0.0351	0.0283	0.0448	0.3469	0.6531	0.5212	0.4788	0.1593	0.6857	0.1550	0.2301	0.0017	0.0005	0.0008	0.0009	0.0009	0.0005	0.0010	0.0001	0.0013	0.0011	0.0007	0.0010	0.0010	0.0006	0.0010	0.0012	0.0009	0.0010	0.0006	0.0005	0.0051	0.0051	0.0060	0.0060	0.0032	0.0056	0.0043	6683.21451000003	1216	0	0.9833	0.0002	0.0000	0.0165	0.0002	0.0000	1.8253	0.0132	0.0288	0.0314	0.0210
nsf1	0 All_Taxa	65	0.0651	0.0116	0.0669	0.0427	0.0312	0.0280	0.0811	0.0003	0.0446	0.0782	0.0326	0.0718	0.0650	0.0137	0.0673	0.0832	0.1086	0.0351	0.0283	0.0448	0.3469	0.6531	0.5212	0.4788	0.1593	0.6857	0.1550	0.2301	0.0017	0.0005	0.0008	0.0009	0.0009	0.0005	0.0010	0.0001	0.0013	0.0011	0.0007	0.0010	0.0010	0.0006	0.0010	0.0012	0.0009	0.0010	0.0006	0.0005	0.0051	0.0051	0.0060	0.0060	0.0032	0.0056	0.0043	6683.21451000003	1216	0	0.9833	0.0002	0.0000	0.0165	0.0002	0.0000	1.8253	0.0132	0.0288	0.0314	0.0210
ef1	0 All_Taxa	69	0.0627	0.0196	0.0869	0.0616	0.0336	0.0209	0.0465	0.0083	0.0444	0.0875	0.0291	0.0556	0.0828	0.0258	0.0699	0.0747	0.0853	0.0264	0.0425	0.0360	0.3338	0.6662	0.4965	0.5035	0.1340	0.7357	0.1303	0.1634	0.0037	0.0024	0.0025	0.0039	0.0031	0.0022	0.0031	0.0008	0.0036	0.0032	0.0031	0.0033	0.0047	0.0025	0.0051	0.0038	0.0037	0.0026	0.0029	0.0024	0.0087	0.0087	0.0083	0.0083	0.0041	0.0065	0.0046	1449.85005	1292	0.0013505	0.9710	0.0015	0.0000	0.0275	0.0013	0.0000	0.3266	0.1279	0.2020	0.2327	0.3350
hsp90	0 All_Taxa	72	0.0593	0.0030	0.0427	0.0516	0.0401	0.0377	0.0513	0.0111	0.0757	0.0964	0.0284	0.0615	0.0637	0.0159	0.0614	0.0811	0.1056	0.0330	0.0514	0.0292	0.3464	0.6536	0.5472	0.4528	0.1477	0.7097	0.1426	0.1427	0.0035	0.0006	0.0023	0.0037	0.0034	0.0022	0.0031	0.0011	0.0040	0.0045	0.0024	0.0029	0.0033	0.0017	0.0043	0.0045	0.0033	0.0025	0.0020	0.0015	0.0072	0.0072	0.0083	0.0083	0.0067	0.0109	0.0061	1789.30850999999	1349	0.0000000000000065295	0.9822	0.0019	0.0000	0.0160	0.0019	0.0000	0.1981	0.0536	0.1348	0.1573	0.1729
tribe1244	0 All_Taxa	72	0.0433	0.0180	0.0743	0.0502	0.0301	0.0433	0.0287	0.0061	0.0501	0.0715	0.0140	0.0623	0.1018	0.0506	0.0662	0.0465	0.1054	0.0466	0.0436	0.0472	0.3260	0.6740	0.4979	0.5021	0.1001	0.7911	0.1088	0.1283	0.0079	0.0031	0.0057	0.0065	0.0075	0.0067	0.0056	0.0012	0.0092	0.0076	0.0052	0.0054	0.0101	0.0059	0.0097	0.0062	0.0087	0.0053	0.0067	0.0041	0.0136	0.0136	0.0121	0.0121	0.0048	0.0074	0.0045	470.30531	1349	1.00000	0.9887	0.0009	0.0000	0.0104	0.0015	0.0000	0.0755	0.0523	0.2093	0.2384	0.3663
nsf1	0 All_Taxa	65	0.0651	0.0116	0.0669	0.0427	0.0312	0.0280	0.0811	0.0003	0.0446	0.0782	0.0326	0.0718	0.0650	0.0137	0.0673	0.0832	0.1086	0.0351	0.0283	0.0448	0.3469	0.6531	0.5212	0.4788	0.1593	0.6857	0.1550	0.2301	0.0017	0.0005	0.0008	0.0009	0.0009	0.0005	0.0010	0.0001	0.0013	0.0011	0.0007	0.0010	0.0010	0.0006	0.0010	0.0012	0.0009	0.0010	0.0006	0.0005	0.0051	0.0051	0.0060	0.0060	0.0032	0.0056	0.0043	6683.21451000003	1216	0	0.9833	0.0002	0.0000	0.0165	0.0002	0.0000	1.8253	0.0132	0.0288	0.0314	0.0210
tribe965	0 All_Taxa	69	0.0284	0.0038	0.0645	0.0805	0.0458	0.0866	0.0553	0.0553	0.0505	0.0559	0.0223	0.0672	0.0559	0.0406	0.0399	0.0611	0.0289	0.0296	0.0370	0.0907	0.3025	0.6975	0.5770	0.4230	0.1112	0.7604	0.1284	0.2283	0.0123	0.0055	0.0089	0.0149	0.0105	0.0159	0.0109	0.0083	0.0108	0.0129	0.0118	0.0122	0.0146	0.0101	0.0127	0.0120	0.0096	0.0110	0.0120	0.0113	0.0228	0.0228	0.0185	0.0185	0.0158	0.0185	0.0139	555.989830000001	1292	1.00000	0.9884	0.0007	0.0000	0.0109	0.0012	0.0000	0.1143	0.0308	0.0923	0.1077	0.1538
rps10	0 All_Taxa	71	0.0524	0.0047	0.0332	0.0368	0.0462	0.0682	0.0607	0.0215	0.0354	0.0963	0.0289	0.0286	0.0744	0.0428	0.0584	0.0630	0.1145	0.0345	0.0415	0.0580	0.3753	0.6247	0.5171	0.4829	0.1570	0.7514	0.0916	0.1819	0.0121	0.0058	0.0023	0.0120	0.0109	0.0121	0.0091	0.0022	0.0093	0.0104	0.0101	0.0091	0.0085	0.0090	0.0113	0.0075	0.0106	0.0103	0.0083	0.0116	0.0229	0.0229	0.0201	0.0201	0.0081	0.0112	0.0071	513.587389999999	1330	1.00000	0.9812	0.0006	0.0000	0.0182	0.0011	0.0000	0.0953	0.0000	0.0000	0.0000	0.0000
tribe832	0 All_Taxa	73	0.0609	0.0285	0.0506	0.0594	0.0401	0.0262	0.0381	0.0029	0.0989	0.0615	0.0349	0.0681	0.0721	0.0130	0.0698	0.0622	0.1059	0.0363	0.0399	0.0306	0.3448	0.6552	0.5325	0.4675	0.0996	0.7700	0.1304	0.1304	0.0096	0.0059	0.0054	0.0072	0.0069	0.0043	0.0061	0.0020	0.0107	0.0072	0.0070	0.0073	0.0080	0.0033	0.0085	0.0071	0.0077	0.0058	0.0060	0.0045	0.0118	0.0118	0.0132	0.0132	0.0051	0.0083	0.0061	545.443930000004	1368	1.00000	0.9608	0.0001	0.0000	0.0391	0.0001	0.0000	0.0891	0.0000	0.0000	0.0000	0.0000
tif2a	0 All_Taxa	72	0.0728	0.0170	0.0394	0.0421	0.0387	0.0430	0.0718	0.0037	0.0492	0.0860	0.0242	0.0595	0.0975	0.0116	0.0753	0.1064	0.0905	0.0253	0.0210	0.0250	0.3125	0.6875	0.5506	0.4494	0.1578	0.6762	0.1659	0.1117	0.0083	0.0034	0.0036	0.0077	0.0065	0.0049	0.0064	0.0001	0.0068	0.0075	0.0048	0.0060	0.0074	0.0035	0.0067	0.0078	0.0054	0.0066	0.0039	0.0036	0.0123	0.0123	0.0119	0.0119	0.0063	0.0109	0.0085	520.248419999999	1349	1.00000	0.9816	0.0022	0.0000	0.0161	0.0034	0.0000	0.0821	0.0331	0.0882	0.1176	0.1544
cct	0 All_Taxa	68	0.0943	0.0187	0.0581	0.0600	0.0362	0.0110	0.0460	0.0000	0.0705	0.0738	0.0262	0.0579	0.0957	0.0167	0.0856	0.0648	0.1068	0.0328	0.0162	0.0287	0.3578	0.6422	0.4884	0.5116	0.1198	0.7575	0.1227	0.2701	0.0013	0.0006	0.0007	0.0010	0.0009	0.0004	0.0009	0.0000	0.0009	0.0009	0.0007	0.0009	0.0011	0.0005	0.0012	0.0009	0.0010	0.0008	0.0005	0.0003	0.0061	0.0061	0.0052	0.0052	0.0032	0.0048	0.0025	13878.37603	1273	0	0.9930	0.0014	0.0000	0.0056	0.0010	0.0000	2.8833	0.0484	0.0645	0.0665	0.0544
rps22a	0 All_Taxa	73	0.0396	0.0166	0.0871	0.0375	0.0462	0.0184	0.0848	0.0071	0.0576	0.0830	0.0388	0.0473	0.0954	0.0302	0.0855	0.0474	0.0844	0.0212	0.0473	0.0246	0.3273	0.6727	0.4903	0.5097	0.1678	0.7374	0.0947	0.1242	0.0066	0.0052	0.0053	0.0072	0.0078	0.0061	0.0066	0.0013	0.0106	0.0095	0.0077	0.0038	0.0091	0.0038	0.0086	0.0042	0.0086	0.0057	0.0046	0.0019	0.0110	0.0110	0.0106	0.0106	0.0080	0.0095	0.0051	335.26828	1368	1.00000	0.9877	0.0003	0.0000	0.0120	0.0006	0.0000	0.0636	0.1628	0.3101	0.3178	0.3798
ar21	0 All_Taxa	69	0.0744	0.0209	0.0487	0.0437	0.0369	0.0491	0.0480	0.0131	0.0544	0.1001	0.0375	0.0555	0.0367	0.0087	0.0501	0.0571	0.0993	0.0438	0.0585	0.0633	0.3963	0.6037	0.5183	0.4817	0.1481	0.7394	0.1126	0.1519	0.0106	0.0041	0.0073	0.0083	0.0092	0.0054	0.0079	0.0010	0.0133	0.0112	0.0073	0.0063	0.0074	0.0030	0.0119	0.0083	0.0108	0.0078	0.0065	0.0044	0.0117	0.0117	0.0109	0.0109	0.0082	0.0115	0.0048	526.2315	1292	1.00000	0.9812	0.0050	0.0000	0.0137	0.0047	0.0000	0.1207	0.0784	0.2026	0.2484	0.3725
orf2	0 All_Taxa	71	0.0778	0.0092	0.0576	0.0618	0.0408	0.0164	0.0793	0.0058	0.0542	0.0844	0.0166	0.0505	0.0722	0.0243	0.0847	0.0532	0.0988	0.0245	0.0514	0.0365	0.3715	0.6285	0.4986	0.5014	0.1636	0.7327	0.1037	0.1408	0.0086	0.0035	0.0044	0.0084	0.0094	0.0051	0.0072	0.0011	0.0101	0.0075	0.0065	0.0073	0.0089	0.0056	0.0124	0.0077	0.0077	0.0053	0.0068	0.0073	0.0142	0.0142	0.0110	0.0110	0.0063	0.0093	0.0064	514.402509999997	1330	1.00000	0.9623	0.0002	0.0000	0.0376	0.0003	0.0000	0.1127	0.0000	0.0000	0.0000	0.0000
psmb	0 All_Taxa	66	0.0772	0.0143	0.1026	0.0599	0.0404	0.0591	0.0525	0.0157	0.0728	0.0436	0.0264	0.0635	0.0812	0.0129	0.0653	0.0373	0.0849	0.0215	0.0400	0.0290	0.3385	0.6615	0.4777	0.5223	0.0960	0.8032	0.1008	0.527099999999999	0.0019	0.0013	0.0016	0.0020	0.0019	0.0022	0.0019	0.0004	0.0027	0.0017	0.0019	0.0018	0.0023	0.0011	0.0029	0.0018	0.0025	0.0015	0.0021	0.0011	0.0147	0.0147	0.0122	0.0122	0.0066	0.0107	0.0078	16795.7389	1235	0	0.9928	0.0002	0.0000	0.0070	0.0002	0.0000	3.1100	0.0222	0.0722	0.0889	0.0444
cpn60	0 All_Taxa	73	0.1053	0.0077	0.0902	0.0634	0.0412	0.0116	0.0410	0.0011	0.0466	0.0822	0.0177	0.0671	0.1030	0.0057	0.0732	0.0786	0.0847	0.0337	0.0190	0.0269	0.3278	0.6722	0.4789	0.5211	0.1232	0.7310	0.1458	0.0834	0.0065	0.0024	0.0037	0.0053	0.0039	0.0016	0.0041	0.0010	0.0053	0.0059	0.0039	0.0037	0.0054	0.0027	0.0061	0.0057	0.0063	0.0049	0.0028	0.0020	0.0076	0.0076	0.0101	0.0101	0.0055	0.0089	0.0052	652.28073	1368	1.00000	0.9750	0.0011	0.0000	0.0239	0.0018	0.0000	0.0757	0.0573	0.0909	0.1028	0.1166
tribe572	0 All_Taxa	74	0.0759	0.0299	0.0752	0.0423	0.0314	0.0372	0.0633	0.0133	0.0625	0.0507	0.0164	0.0717	0.0860	0.0400	0.0550	0.0581	0.0756	0.0114	0.0384	0.0655	0.3401	0.6599	0.4986	0.5014	0.1140	0.7562	0.1298	0.1673	0.0145	0.0046	0.0067	0.0091	0.0078	0.0073	0.0057	0.0024	0.0126	0.0093	0.0073	0.0083	0.0160	0.0057	0.0100	0.0100	0.0091	0.0060	0.0075	0.0074	0.0191	0.0191	0.0154	0.0154	0.0079	0.0128	0.0103	614.38519	1387	1.00000	0.9732	0.0010	0.0000	0.0257	0.0018	0.0000	0.0647	0.0272	0.0544	0.0884	0.0884
cct	0 All_Taxa	68	0.0943	0.0187	0.0581	0.0600	0.0362	0.0110	0.0460	0.0000	0.0705	0.0738	0.0262	0.0579	0.0957	0.0167	0.0856	0.0648	0.1068	0.0328	0.0162	0.0287	0.3578	0.6422	0.4884	0.5116	0.1198	0.7575	0.1227	0.2701	0.0013	0.0006	0.0007	0.0010	0.0009	0.0004	0.0009	0.0000	0.0009	0.0009	0.0007	0.0009	0.0011	0.0005	0.0012	0.0009	0.0010	0.0008	0.0005	0.0003	0.0061	0.0061	0.0052	0.0052	0.0032	0.0048	0.0025	13878.37603	1273	0	0.9930	0.0014	0.0000	0.0056	0.0010	0.0000	2.8833	0.0484	0.0645	0.0665	0.0544
wrs	0 All_Taxa	71	0.0565	0.0171	0.0557	0.0531	0.0281	0.0376	0.0449	0.0035	0.0658	0.0766	0.0219	0.0744	0.0460	0.0280	0.0772	0.0511	0.0839	0.0451	0.0843	0.0494	0.3766	0.6234	0.5217	0.4783	0.1215	0.7530	0.1255	0.1102	0.0064	0.0040	0.0042	0.0052	0.0053	0.0047	0.0054	0.0021	0.0073	0.0063	0.0047	0.0056	0.0080	0.0041	0.0093	0.0061	0.0062	0.0052	0.0046	0.0057	0.0117	0.0117	0.0109	0.0109	0.0056	0.0103	0.0060	627.580109999999	1330	1.00000	0.9574	0.0010	0.0000	0.0416	0.0016	0.0000	0.1172	0.0385	0.0769	0.0947	0.1538
psmb	0 All_Taxa	66	0.0772	0.0143	0.1026	0.0599	0.0404	0.0591	0.0525	0.0157	0.0728	0.0436	0.0264	0.0635	0.0812	0.0129	0.0653	0.0373	0.0849	0.0215	0.0400	0.0290	0.3385	0.6615	0.4777	0.5223	0.0960	0.8032	0.1008	0.527099999999999	0.0019	0.0013	0.0016	0.0020	0.0019	0.0022	0.0019	0.0004	0.0027	0.0017	0.0019	0.0018	0.0023	0.0011	0.0029	0.0018	0.0025	0.0015	0.0021	0.0011	0.0147	0.0147	0.0122	0.0122	0.0066	0.0107	0.0078	16795.7389	1235	0	0.9928	0.0002	0.0000	0.0070	0.0002	0.0000	3.1100	0.0222	0.0722	0.0889	0.0444
if2p	0 All_Taxa	72	0.0630	0.0144	0.0662	0.0519	0.0298	0.0211	0.0447	0.0048	0.0509	0.0774	0.0251	0.0581	0.0885	0.0267	0.0883	0.0696	0.1030	0.0400	0.0368	0.0397	0.3607	0.6393	0.4847	0.5153	0.1221	0.7502	0.1277	0.0946	0.0047	0.0031	0.0038	0.0053	0.0047	0.0036	0.0045	0.0011	0.0051	0.0056	0.0043	0.0050	0.0075	0.0030	0.0073	0.0075	0.0069	0.0046	0.0041	0.0029	0.0088	0.0088	0.0082	0.0082	0.0052	0.0103	0.0060	584.544560000001	1349	1.00000	0.9402	0.0003	0.0000	0.0596	0.0005	0.0000	0.1209	0.0000	0.0000	0.0000	0.0000
cct	0 All_Taxa	68	0.0943	0.0187	0.0581	0.0600	0.0362	0.0110	0.0460	0.0000	0.0705	0.0738	0.0262	0.0579	0.0957	0.0167	0.0856	0.0648	0.1068	0.0328	0.0162	0.0287	0.3578	0.6422	0.4884	0.5116	0.1198	0.7575	0.1227	0.2701	0.0013	0.0006	0.0007	0.0010	0.0009	0.0004	0.0009	0.0000	0.0009	0.0009	0.0007	0.0009	0.0011	0.0005	0.0012	0.0009	0.0010	0.0008	0.0005	0.0003	0.0061	0.0061	0.0052	0.0052	0.0032	0.0048	0.0025	13878.37603	1273	0	0.9930	0.0014	0.0000	0.0056	0.0010	0.0000	2.8833	0.0484	0.0645	0.0665	0.0544
rpl12b	0 All_Taxa	75	0.0786	0.0131	0.0858	0.0619	0.0330	0.0086	0.0533	0.0056	0.0603	0.1058	0.0211	0.0564	0.0855	0.0175	0.0892	0.0431	0.0702	0.0337	0.0101	0.0670	0.3419	0.6581	0.4868	0.5132	0.1591	0.7414	0.0995	0.1469	0.0130	0.0047	0.0067	0.0069	0.0066	0.0051	0.0063	0.0014	0.0085	0.0092	0.0059	0.0093	0.0110	0.0048	0.0114	0.0101	0.0063	0.0083	0.0047	0.0065	0.0153	0.0153	0.0138	0.0138	0.0078	0.0107	0.0080	530.299999999998	1406	1.00000	0.9819	0.0000	0.0000	0.0181	0.0000	0.0000	0.0436	0.0253	0.0886	0.0949	0.0949
