	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned.phy	Gene_0007	Gene_0016	Gene_0017	Gene_0020	Gene_0030	Gene_0035	Gene_0037	Gene_0041	Gene_0044	Gene_0045	Gene_0051	Gene_0053	Gene_0058	Gene_0059	Gene_0062	Gene_0063	Gene_0064	Gene_0066	Gene_0068	Gene_0070	Gene_0073	Gene_0076	Gene_0084	Gene_0086	Gene_0088	Gene_0090	Gene_0092	Gene_0094	Gene_0098	Gene_0101	Gene_0105	Gene_0120	Gene_0121	Gene_0123	Gene_0128	Gene_0129	Gene_0131	Gene_0135	Gene_0140	Gene_0141	Gene_0143	Gene_0144	Gene_0146	Gene_0152	Gene_0156	Gene_0157	Gene_0158	Gene_0169	Gene_0171	Gene_0177	Gene_0178	Gene_0180	Gene_0181	Gene_0208	Gene_0251	Gene_0253	Gene_0257	Gene_0268	Gene_0270	Gene_0272	Gene_0277	Gene_0278	Gene_0281	Gene_0289	Gene_0305	Gene_0311	Gene_0314	Gene_0315	Gene_0319	Gene_0327	Gene_0328	Gene_0340	Gene_0346	Gene_0348	Gene_0352	Gene_0363	Gene_0366	Gene_0372	Gene_0379	Gene_0380	Gene_0384	Gene_0390	Gene_0394	Gene_0395	Gene_0401	Gene_0407	Gene_0408	Gene_0411	Gene_0412	Gene_0414	Gene_0415	Gene_0443	Gene_0446	Gene_0448	Gene_0450	Gene_0455	Gene_0457	Gene_0470	Gene_0484	Gene_0487	Gene_0498	Gene_0503	Gene_0511	Gene_0513	Gene_0519	Gene_0524	Gene_0529	Gene_0536	Gene_0541	Gene_0542	Gene_0548	Gene_0557	Gene_0563	Gene_0565	Gene_0568	Gene_0576	Gene_0601	Gene_0604	Gene_0608	Gene_0614	Gene_0615	Gene_0622	Gene_0623	Gene_0624	Gene_0625	Gene_0626	Gene_0628	Gene_0629	Gene_0631	Gene_0639	Gene_0641	Gene_0644	Gene_0645	Gene_0651	Gene_0652	Gene_0654	Gene_0657	Gene_0658	Gene_0661	Gene_0664	Gene_0667	Gene_0668	Gene_0674	Gene_0677	Gene_0678	Gene_0681	Gene_0687	Gene_0690	Gene_0691	Gene_0695	Gene_0696	Gene_0703	Gene_0709	Gene_0727	Gene_0741	Gene_0745	Gene_0766	Gene_0773	Gene_0775	Gene_0786	Gene_0787	Gene_0793	Gene_0802	Gene_0806	Gene_0807	Gene_0808	Gene_0813	Gene_0819	Gene_0822	Gene_0834	Gene_0835	Gene_0843	Gene_0848	Gene_0857	Gene_0863	Gene_0873	Gene_0874	Gene_0891	Gene_0894	Gene_0895	Gene_0896	Gene_0904	Gene_0909	Gene_0910	Gene_0911	Gene_0912	Gene_0917	Gene_0920	Gene_0921	Gene_0925	Gene_0927	Gene_0930	Gene_0933	Gene_0941	Gene_0942	Gene_0945	Gene_0947	Gene_0950	Gene_0951	Gene_0958	Gene_0963	Gene_0964	Gene_0966	Gene_0969	Gene_0974	Gene_0975	Gene_0983	Gene_0989	Gene_1021	Gene_1033
Pleurobrachia_bachei	0.3618		0.3232	0.3152	0.3356		0.3620	0.3340			0.2944				0.2833	0.3976		0.4951	0.3226	0.2894	0.3288		0.3473	0.4737	0.3417	0.4145	0.4219			0.3511		0.3933		0.3722	0.3333	0.3889	0.4078		0.4739			0.3023		0.2925	0.2462		0.3071		0.2984	0.3103	0.4226	0.3742		0.3310	0.3319	0.3116	0.2812		0.2874	0.3822	0.2704			0.3187	0.4154	0.3743	0.3901			0.3540	0.3713		0.3584	0.4029	0.3576	0.4402		0.2939	0.3036	0.3457	0.3769		0.4311	0.3167	0.3237		0.3019	0.4627	0.3757		0.3567		0.3210	0.3704						0.3208	0.3917			0.3953	0.3643			0.3174	0.3575		0.3507	0.3467	0.3711	0.3694		0.4203	0.2959	0.3360					0.2414			0.3551	0.3133		0.4831			0.3361	0.4564		0.4242		0.3186		0.3824	0.3628	0.4821		0.3354			0.4099	0.3453				0.3113	0.3370	0.3478			0.3582					0.3908			0.2963		0.2525	0.3406	0.4034	0.3333	0.4013	0.4410		0.3250				0.4714		0.3662	0.3763		0.3634	0.3671		0.3731	0.4316			0.3538				0.3683	0.3810	0.3962	0.3093			0.5116		0.4000		0.3457	0.3333			0.3529		0.3151	0.3490	0.3721
Bolinopsis_infundibulum	0.3518			0.3056	0.3556		0.3111	0.3133		0.3418	0.3179		0.2838				0.2879	0.4110	0.3932	0.2989	0.3111	0.3677			0.2759		0.4253	0.4225		0.2167	0.2986	0.3986			0.3141	0.3333	0.4272		0.4717	0.3704	0.2683	0.3438	0.4265		0.3021					0.2897	0.4265				0.3188	0.3379		0.3889				0.2118		0.2778	0.4156	0.3722	0.4026			0.2778		0.3103	0.3333	0.3932	0.3356	0.3750		0.3302	0.3041						0.3306					0.3556	0.3516		0.3354	0.3864	0.3562	0.4780		0.3801	0.1915	0.3261				0.4080				0.3667		0.3371	0.3412				0.3218										0.4112	0.3529	0.3455	0.3380	0.3628		0.3373	0.4000		0.3243	0.4197	0.3077	0.3097		0.3907		0.4181		0.3391			0.3791			0.2857	0.3583		0.3279	0.2733	0.2429	0.3451	0.3396			0.3409	0.3146	0.3309	0.3279				0.2323				0.3774	0.3922		0.3178	0.3333		0.3594	0.4940		0.3532	0.3885			0.3378				0.4478		0.3952	0.3404	0.3631	0.3294	0.4392	0.4286	0.3143			0.3757	0.4811				0.3286	0.2893		0.3889	0.4239		0.2899	0.3571	
Sycon_coactum	0.3675	0.3016	0.3399	0.3319	0.3615	0.3375	0.3453	0.3696	0.4437	0.3077	0.3209	0.4145		0.4691		0.4234	0.2803			0.3399	0.3000	0.3356	0.3636	0.5146		0.3750	0.4453		0.3579		0.3111	0.3665	0.4815	0.3544	0.3718			0.3503	0.4785			0.3734	0.3600	0.2598	0.2660		0.3701	0.3506	0.2992	0.2414	0.4365	0.3813	0.3436		0.3379	0.3370	0.2879	0.4091	0.2589	0.3498	0.3099		0.3826	0.3211	0.4501	0.4000	0.3250	0.3601	0.2437		0.3562	0.3091	0.3574	0.3947		0.4192	0.3841	0.3034	0.3968	0.3381	0.3879	0.3819	0.5094		0.3333	0.3952	0.2848		0.4118	0.3509	0.3750		0.3272	0.3410	0.3777	0.5000	0.5200		0.2946	0.3824		0.3191	0.2679	0.3904	0.3593	0.3890	0.3775	0.3440	0.3568	0.2903	0.3302	0.3490	0.3932	0.3653	0.3598		0.2844		0.4625	0.3714	0.3458	0.3861	0.3395	0.4728	0.4262	0.3546	0.3151	0.4225	0.3923	0.4276	0.3931		0.4352	0.3478	0.3782	0.3793	0.3451		0.3709	0.3561	0.5029	0.3333	0.3154	0.3964		0.4074	0.3192	0.2963		0.3684	0.3356		0.3077	0.2982		0.3913	0.3840	0.3686	0.3564	0.3921		0.3833	0.4138	0.3436	0.2523	0.2800	0.3388	0.4000	0.3617	0.3585	0.4070	0.4286	0.3359	0.3252	0.3978	0.4828	0.5407	0.4016		0.3636	0.4342		0.3438		0.2923			0.3860	0.4077	0.3038	0.3750		0.4032	0.3786	0.3376	0.4067	0.3957	0.3608		0.3268	0.3226	0.4404	0.2869	0.3315	0.3926	0.2873	0.3656	0.3715	0.3653	0.3722	0.3386
Acropora_digitifera	0.3592	0.3008	0.3882	0.3359	0.3666		0.3535	0.3529	0.4571		0.2977	0.4243		0.4568	0.2768	0.3358	0.3071	0.3720	0.2737		0.3655		0.3698	0.4912	0.3242	0.3487	0.4375	0.3474		0.3544	0.3076		0.4262	0.3689	0.3077		0.4078	0.3058	0.4519	0.3562		0.3937	0.3387	0.3543	0.2796	0.3677	0.3049	0.3791	0.3150	0.2564		0.3931	0.3359	0.3488		0.3499	0.2652	0.3677	0.2147	0.3662	0.2994		0.4017			0.4000	0.3989	0.3425	0.2869	0.3588	0.3413	0.3653		0.4058	0.3955	0.4269	0.3667	0.3288	0.3497	0.3345	0.3895	0.3243	0.5503	0.3315	0.3551	0.3643	0.3442	0.4966		0.3778	0.3370	0.3818	0.3765	0.3566	0.3579	0.4758	0.4354	0.3537	0.3086	0.3518	0.3611			0.4143	0.3842	0.3382	0.3861	0.3480	0.3443	0.3182	0.3538	0.3288	0.3860	0.2805	0.3338	0.4266	0.3296	0.3465		0.4043	0.3434	0.4055			0.4016	0.3476	0.2952	0.4365		0.4545	0.3333	0.3733	0.3960	0.2783		0.3443	0.3274		0.3841	0.3490		0.3649	0.3154	0.3682	0.4083	0.3790	0.3158		0.2734	0.3649	0.3401		0.3140	0.2895		0.3396	0.3889	0.2800	0.3489	0.4113	0.3803	0.3333	0.3750	0.3231	0.2636	0.2700	0.3290	0.3897	0.4000	0.4025	0.3878		0.3443	0.3333	0.3718				0.3601	0.3660	0.4565	0.3481	0.3472		0.2703	0.4136		0.3439	0.3692	0.3063	0.3929		0.4189	0.4286	0.3315	0.3411		0.3757	0.5119	0.3171	0.3616	0.4385	0.2705	0.2983	0.3370	0.3352	0.3684	0.3820			0.3446
Monosiga_ovata	0.3817	0.3220			0.3594					0.3279						0.4105		0.4194	0.3421	0.4286			0.3564	0.4912		0.3805	0.4766		0.3982		0.3756	0.4012		0.4023				0.3692		0.4318		0.3846				0.4468							0.3307		0.3439					0.3587	0.2330	0.2118						0.4099			0.4296	0.3727		0.4744						0.3596						0.3836							0.3519		0.3669			0.3744	0.3657	0.3804			0.3852		0.4891					0.3295	0.3396	0.3243		0.3922		0.4286	0.3196				0.3441	0.4586				0.3704								0.3868		0.4250					0.4795	0.3937							0.3577	0.4333		0.3686				0.3743		0.3813	0.4074	0.3564				0.3947	0.3364	0.3000				0.3667			0.3359	0.3709	0.3853				0.3714				0.3618	0.3109				0.3802	0.3952				0.5031	0.4078	0.4227	0.4452			0.5556	0.3171			0.2906			0.3333	0.3956				
Capsaspora_owczarzaki	0.3854	0.3136	0.3955	0.3512	0.3738	0.3831	0.3425	0.3603	0.4483	0.3000	0.3110	0.4513	0.3333	0.5185	0.3191	0.4060	0.3258	0.4013	0.3053	0.3882	0.2966	0.3844	0.3936	0.5029	0.3359	0.3525	0.3594		0.4277	0.4192	0.3375	0.4427				0.3019	0.4455	0.3698	0.4269	0.3778	0.2805	0.3875	0.3984	0.3307	0.2979	0.4110	0.3755	0.3576	0.3040	0.2878	0.5126	0.3613	0.3308	0.3841	0.2961	0.3431	0.3360	0.4397	0.1895	0.3514	0.2824	0.2051	0.4108	0.3252	0.4668	0.3944	0.4481	0.3640	0.3255	0.3588	0.3113	0.3948	0.3559	0.4091	0.4485	0.4303	0.3990	0.3165	0.3926	0.4139	0.4133	0.3929	0.5496	0.3621	0.3858	0.3984	0.3636	0.5015	0.3631	0.3881	0.3443	0.4407	0.3642	0.3881	0.3827		0.4492	0.3930	0.3614	0.3856	0.4074	0.3755	0.3603	0.4422	0.3701		0.3622	0.3934	0.3915	0.3183	0.3679	0.3836	0.4205	0.3864	0.3640	0.4606	0.3606	0.3529	0.5290	0.3936		0.4787	0.3436	0.4565	0.3636	0.4023	0.3373	0.4545	0.4136	0.4576	0.3509	0.3400	0.4116	0.3565	0.4570	0.3552	0.3717	0.2549	0.3841	0.3900	0.4831	0.3953	0.3418	0.3590	0.4000	0.4099	0.3505	0.3456	0.3050	0.3722	0.3601	0.3447	0.3256	0.3377	0.3506	0.3412	0.4005	0.4043	0.3887	0.3671	0.4225	0.3500	0.3908	0.3385	0.2812	0.2700	0.3750	0.4118	0.3617		0.4082	0.4249	0.3281	0.3649	0.3746	0.5233	0.4701	0.3917	0.3850	0.3694	0.4435	0.3554	0.3685	0.4151	0.2899	0.4615	0.3881		0.4385	0.3500	0.4551		0.4699		0.3660			0.3923	0.5338	0.3600	0.3764	0.4363	0.3361	0.2873	0.3641	0.4088	0.3895	0.3913	0.3601	0.3741	0.3592
Hydra_oligactis	0.3598	0.3008		0.3178	0.3592			0.3444	0.4327	0.3165	0.3302			0.4568	0.3378	0.3723	0.2879		0.2895				0.3508	0.4235	0.3398	0.3191					0.3211		0.4386		0.2987		0.3786		0.4214			0.3750	0.3537	0.3386	0.2660	0.3807		0.3701	0.2835	0.3056			0.3359				0.2879				0.2449	0.2000			0.4151				0.2500	0.4427		0.3800	0.3418	0.3893	0.4630	0.4286							0.5388	0.3537	0.3977	0.3799	0.3361		0.4064	0.3185	0.4029							0.3712			0.3667			0.4064				0.3574			0.3443	0.3316			0.3186	0.3720			0.4382	0.3763	0.3390	0.4071			0.3852	0.3544		0.5035	0.3926	0.3542	0.3218			0.3478	0.3980	0.4222	0.3298	0.2929	0.3642	0.3782			0.3511	0.3186	0.4375	0.3696				0.3601			0.3023	0.2941		0.3694	0.3657	0.3462	0.3405		0.4505	0.3000	0.3448		0.2364	0.2900	0.4028			0.3846				0.3365					0.2571											0.3117			0.4064	0.3906							0.3977	0.4387		0.3636		0.3039			0.3210		
Corticium_candelabrum	0.3561		0.3286	0.3319		0.3469		0.3153	0.4057	0.3000	0.2911	0.3526		0.5000	0.2877		0.2652	0.3750	0.2907	0.3038		0.3729	0.3636	0.5000	0.3291	0.3768	0.3750	0.4115	0.3913					0.3709	0.2941	0.3333		0.3333			0.2375	0.3671	0.2281	0.2835	0.2796	0.3694	0.3209	0.3161		0.2754		0.3636	0.2500	0.3212	0.2721		0.2727		0.3137	0.3704	0.3294		0.3729	0.3134		0.4337	0.3692	0.3500	0.2385			0.3682	0.3854	0.3874			0.3917	0.3356	0.3669		0.4464	0.3409	0.5507		0.4000	0.3858		0.3627	0.4000	0.4366	0.3109	0.3734	0.2787		0.3333			0.4000	0.2971		0.3363		0.3320		0.4000	0.3820	0.3585	0.4019	0.3492	0.3296			0.3840	0.3688	0.3321	0.3947	0.3032		0.4114	0.4062	0.3087		0.3065	0.4552		0.3111	0.3203	0.4310		0.3175			0.4563	0.3717			0.3426	0.3168		0.3347		0.4428		0.3682	0.4024		0.2892		0.3212	0.3546	0.3188	0.3713	0.2789	0.2787		0.3582	0.3143		0.3053		0.3521	0.4000	0.4429			0.2700		0.3905	0.2625	0.3774	0.3621	0.4598	0.3187		0.4024	0.4254			0.2848	0.4000	0.4639	0.3692		0.3766		0.4575	0.4776				0.4314		0.4503	0.4095	0.3298					0.3095			0.3115	0.3455		0.3741		0.4648	0.3714		
Strongylocentrotus_purpuratus	0.3656	0.3008	0.3750	0.3005	0.3670	0.3774		0.3274	0.4489		0.3034	0.4095	0.2603	0.4568	0.2706	0.4048	0.3030	0.3503	0.2625	0.3242	0.3448	0.3503	0.3551	0.5088	0.3415	0.3382	0.3984	0.3991	0.3715	0.3683	0.2766	0.3542	0.4426	0.3952	0.3268		0.4078	0.3856	0.5399		0.2625	0.3962	0.3790	0.3386	0.2561			0.3046	0.2756	0.2828	0.4750	0.3538		0.3519	0.2906	0.3448	0.2809	0.3871	0.2262	0.3567	0.2759	0.2716	0.3404	0.2876	0.4563	0.3667	0.4153	0.3679	0.2594	0.3538	0.3303	0.3542	0.3691		0.3717	0.4038	0.3694	0.3375	0.3366	0.3444	0.3757	0.3681	0.5241	0.3161	0.3454		0.3571	0.4673	0.3859	0.3704	0.3641	0.3729	0.3766	0.3523	0.3744	0.4469	0.4672	0.3668	0.3200	0.3693	0.3358	0.3321	0.3321	0.4183	0.3585	0.3401		0.3319	0.3693	0.2893	0.3538	0.3249	0.3981	0.3600	0.3464	0.4242	0.3508	0.4016	0.4961	0.3556	0.2759	0.4027	0.3519	0.4286	0.4250		0.3072	0.4056	0.3287	0.4537	0.2841	0.3826	0.4428	0.4059	0.3619				0.3709	0.3477	0.4831	0.3604	0.2975	0.3617		0.3939		0.3662	0.2857	0.3629	0.3214	0.3373	0.2865	0.3114	0.3463	0.4025		0.3497	0.3545	0.3591	0.3947	0.3333	0.3014	0.3282	0.2747		0.3583	0.3862	0.3613	0.3774	0.3827	0.4569	0.3359		0.3810	0.5036	0.4883	0.3978	0.3623	0.3644	0.4261	0.3158	0.3646		0.3167	0.4789	0.4627		0.4135	0.3375	0.3869	0.2595	0.4112	0.3883	0.3420		0.3885	0.3425	0.4737		0.3546	0.4048	0.3523	0.3149	0.3315	0.2761	0.3789		0.3474	0.3538	0.3466
Spizellomyces_punctatus	0.3762	0.3136	0.3816	0.2979	0.3728	0.3582	0.3480		0.4706	0.2785	0.2750		0.3200	0.4691	0.2830	0.3869	0.2803	0.3865	0.2979	0.3476	0.3655	0.3868	0.3560	0.5146		0.3776	0.4531	0.4554	0.3846	0.3675	0.3221	0.3490	0.4211		0.2945	0.3333	0.4118	0.4103	0.4585	0.3650		0.4025	0.3821	0.3228	0.3053		0.3682	0.3548	0.3241	0.2621	0.4766	0.3510	0.3077	0.3543	0.3205	0.3834	0.3175	0.4194	0.2424	0.3762	0.2917	0.2195	0.3703	0.3317	0.4494	0.4111	0.4091	0.3640	0.2802	0.3740	0.3273	0.4059	0.3559	0.3929	0.4257	0.4291	0.3895		0.3993	0.3736	0.4549	0.3586	0.5344	0.3527		0.4151	0.3660		0.4358	0.3926	0.3405	0.4034	0.3704	0.3719	0.3604	0.4533	0.4402	0.4367	0.3371	0.3775	0.3636		0.3771	0.4104	0.3874	0.3324	0.3563	0.3865	0.3664	0.3090	0.3302	0.3417	0.3930	0.4044	0.3399	0.4451	0.3401	0.4016	0.5109	0.3913	0.3351	0.4332	0.3519		0.4083	0.3739	0.3675	0.4685	0.3814	0.4619	0.3522	0.3867	0.4200	0.4000		0.3636	0.2655	0.3131	0.3444	0.3799	0.4360	0.4099	0.3481	0.3846	0.3694	0.4062	0.3356	0.3508	0.2929	0.3994	0.3616	0.3767	0.2907	0.3246	0.3493	0.3657	0.3947	0.3635	0.3226	0.3467		0.3443	0.3333	0.3902		0.3000	0.3618	0.3966	0.3670	0.3571	0.3672		0.3203		0.3791	0.5160	0.5273	0.3733	0.3618	0.3347	0.4725		0.3616	0.4321	0.3243	0.4839	0.3971	0.3206	0.4274	0.3312	0.3810	0.3231	0.4275	0.3786		0.3986	0.4388	0.3591	0.4887	0.3448	0.3852	0.4075	0.3279	0.2873	0.3804	0.3536		0.3992	0.3601	0.3609	0.3478
Aiptasia_pallida	0.3662			0.3238				0.3458	0.4457				0.2877	0.4691			0.3136	0.3780	0.2842	0.3478	0.3655			0.5029		0.3630	0.4375	0.3803		0.3533	0.3199	0.3613		0.3883	0.3200	0.3704	0.4369	0.3770		0.3358	0.2317	0.3625	0.3548	0.3622	0.2688	0.3649		0.3333		0.2708	0.4875	0.3782	0.3654		0.2993	0.3517	0.2803				0.3121	0.2353	0.3889	0.3238	0.4501	0.4000	0.4098		0.2689		0.3714	0.3727	0.2903		0.3895	0.4252	0.3254		0.3510	0.2679	0.3584		0.5191		0.3668	0.3484		0.4836	0.4177		0.3098	0.3953	0.3250	0.3579		0.4444	0.4645		0.3257	0.3485			0.3737	0.4104	0.3519	0.3536		0.3720		0.3275	0.3491	0.3417			0.3561	0.4140	0.3296		0.4545	0.3678	0.3188		0.3395	0.5000	0.4180	0.3203	0.2892	0.4126	0.3750		0.3448	0.3750		0.2870	0.3878	0.3333		0.2828	0.3487	0.3386	0.4775	0.3694	0.3289		0.3728		0.3322		0.2857	0.3712	0.3409	0.3763	0.3140			0.3433		0.3538	0.3185		0.3592	0.3167	0.3563		0.2273	0.2900			0.3883	0.4214	0.5000	0.4249	0.3023	0.3365	0.3428				0.3601		0.4464	0.3529			0.2973	0.4450	0.3200	0.3611	0.4231	0.3312	0.4048	0.2783	0.3945	0.3333	0.3377			0.3646		0.3560	0.3506	0.4013		0.2983	0.3533	0.3446	0.3474	0.3913	0.3529		
Physalia_physalis	0.3611	0.3093	0.3958	0.3397	0.3799	0.3246	0.3564	0.3619	0.3860	0.3291	0.2977			0.4691	0.2255	0.3869	0.2803	0.4085	0.2895	0.3516	0.3379	0.3711	0.3455	0.4620	0.3672	0.3578	0.4219	0.3944		0.3922	0.2917	0.3594	0.4386		0.3117			0.3413	0.4822	0.4019		0.3812	0.2984	0.3150	0.2842	0.3628	0.3088	0.2857	0.2755	0.3056			0.3436	0.3411	0.3028	0.3364	0.2895	0.3871	0.2679	0.3486	0.2941	0.2235	0.3950	0.2899	0.4421	0.4278	0.4000	0.3605	0.2689	0.3947	0.3498		0.3602				0.3569	0.2960	0.3465	0.3165	0.3517		0.5362	0.3323	0.3086		0.3782	0.4670	0.4064	0.3301	0.3427	0.3953	0.3889	0.3652				0.3362	0.2971	0.3791	0.3519			0.4064	0.3761	0.3991		0.3418	0.3383	0.3407	0.3443	0.3422	0.3910	0.3333	0.3302	0.4053	0.3536	0.2992		0.3441	0.3547		0.3580	0.4756	0.3884	0.3622	0.3012	0.5105	0.3286	0.4153	0.3218	0.3495	0.4578	0.3130	0.3729	0.3552	0.2982	0.3131	0.3709	0.3455	0.4438	0.3649	0.3514	0.4112	0.4364	0.3642	0.3355	0.4000	0.3121	0.3795	0.3203	0.3503	0.3250	0.2400	0.3593	0.3769	0.3578	0.3635	0.3545	0.3796	0.3885	0.2833	0.3563	0.3231	0.3000	0.2800	0.3125		0.3457	0.3910	0.3125	0.4217	0.3203	0.3507	0.3640		0.5365	0.3926	0.3643	0.3504		0.2844	0.3545		0.3210	0.4646		0.3333	0.4154	0.3203	0.3929	0.2897	0.3973	0.3905	0.3671		0.4101	0.3536	0.5194	0.3268	0.3911	0.3934	0.2710	0.3167		0.3312	0.4000	0.3662	0.3665		
Priapulus_caudatus	0.3598	0.3176	0.3744	0.3238	0.3071			0.3387	0.4229		0.3488		0.3014	0.4815	0.1778	0.4250	0.2576	0.3598	0.2880		0.3913			0.4327	0.3143		0.4453	0.4178	0.3776		0.3280				0.3540		0.4466	0.2639	0.4727	0.3263	0.2750	0.4105		0.3150	0.2766	0.4407		0.3052	0.2835	0.2604			0.3458	0.3370	0.3034				0.2794			0.1647	0.3143	0.3185			0.3661		0.2803	0.3659	0.3923		0.3713	0.3831		0.4118			0.3596			0.3448	0.5305	0.3585			0.3459		0.3911	0.3654	0.3370	0.3885	0.3704		0.3788	0.4765		0.3843	0.2914		0.3353	0.3478	0.3367	0.4064	0.3684	0.4014	0.3978		0.3682	0.2921	0.3607	0.3185	0.3776			0.4046	0.2929	0.3701		0.3370	0.3818		0.3457	0.4402	0.4180		0.3276		0.3506		0.3375					0.3333	0.3113	0.3226	0.3642								0.3382		0.3286	0.3705			0.3023	0.3026				0.3134	0.3200			0.3500	0.3864		0.2636	0.3100			0.3723	0.4214		0.3922	0.3488	0.3460		0.5000		0.3477	0.3605	0.3407							0.4627		0.3923	0.3258		0.3043		0.3714	0.3276		0.3981	0.3646	0.4662	0.3053						0.3481				0.3481	
Pseudospongosorites_suberitoides	0.3557			0.3068						0.3000	0.3067		0.2740	0.4691	0.2222	0.4127	0.2955		0.3258		0.3608			0.5541		0.3469	0.3984				0.2727				0.3279	0.4074		0.2881	0.5330			0.3857		0.2647	0.3889			0.3333	0.3208	0.3210	0.3947		0.2845		0.3419		0.3065	0.3889	0.2403					0.2775	0.4375	0.4056	0.3911		0.2593	0.4898			0.3249											0.2824		0.3927	0.3169	0.5370	0.4435		0.3478	0.3750			0.3723		0.4753							0.4081				0.3656	0.3293		0.3623							0.3077		0.3415	0.3217	0.4624	0.3595		0.3804		0.3012				0.2500	0.3175		0.3143	0.4167		0.3274		0.3889		0.4753	0.3585			0.3791	0.3438					0.2157		0.3285					0.2875	0.3194	0.3602		0.3000	0.3563		0.2727	0.2727				0.3690	0.4237		0.3516	0.3429					0.3034	0.3293			0.3604		0.3735		0.4627							0.4272	0.3813			0.3481		0.2829			0.2869	0.3220	0.3625		0.4239				
Abylopsis_tetragona	0.3535	0.3093	0.3945	0.2946	0.3698		0.3598	0.3386	0.3468	0.3291	0.2353		0.2877	0.4938	0.2755	0.3869	0.2803	0.3841	0.3053	0.3333	0.3586	0.3265	0.3684		0.3958	0.3783	0.4062	0.4178		0.3676	0.3154	0.3672	0.4180	0.3422	0.3442	0.3889		0.3582		0.3577	0.2875	0.3688	0.3008	0.2992	0.2842	0.3194	0.2952	0.2950	0.2756	0.3172		0.3768	0.3308	0.3583	0.3047	0.3586	0.2901	0.3893	0.2208	0.3408	0.3216		0.3882	0.2754	0.4073	0.3722	0.3661	0.3392	0.2979	0.3817	0.3713	0.3616	0.3333	0.3929	0.3761	0.4269	0.3431	0.2509	0.3498	0.3213	0.3136		0.5326	0.3488		0.3843	0.3766	0.4388	0.4118	0.3481	0.3315	0.3612	0.3704	0.3617	0.3787	0.4525		0.3537	0.2800	0.3627	0.3535			0.4064	0.3522	0.3602	0.3628	0.3574	0.3772	0.3351	0.3507	0.2972	0.3908	0.2931	0.3310	0.4333	0.3113	0.3386		0.4468	0.3581		0.3580	0.4511	0.4098	0.3634	0.3133	0.4895	0.3472		0.3410	0.3355		0.3217	0.3959	0.3279	0.2719	0.3030	0.3510	0.3678	0.4045		0.3490	0.3602	0.4260	0.3457	0.3349		0.3071	0.2971	0.2885	0.3176	0.2849	0.2675	0.3478	0.3284	0.3656	0.3692	0.3112	0.3517	0.4143	0.3500	0.3103	0.3027	0.2909	0.2700	0.3281	0.4344	0.3298	0.4103	0.4051		0.2969	0.3507	0.3781		0.4564	0.2374	0.3669	0.3531		0.3349	0.3303	0.3440	0.2785	0.4660	0.4776		0.4231	0.2903	0.3869	0.2734	0.3881	0.3786	0.3521	0.3148	0.4138	0.3818	0.5116	0.3011	0.3432		0.3115	0.3204	0.3765	0.3164	0.3895	0.3559	0.3388	0.3565	0.3769
Saccoglossus_kowalevskii	0.3514	0.3008	0.3900	0.3455	0.3523			0.3571			0.3067			0.5062	0.2500		0.2879				0.3587		0.3209			0.3618	0.3984						0.4426	0.3933	0.3630		0.3981	0.3396		0.3363		0.3857	0.3468	0.3150	0.2766	0.2973		0.3268	0.2913	0.3103				0.3690	0.3288			0.3419	0.2624			0.1548	0.3226	0.2947		0.3985		0.3351			0.3383	0.3516	0.3384	0.3882								0.4160					0.4113					0.3851		0.3524				0.3668	0.2782		0.3444		0.3139	0.4104		0.3814	0.3896	0.3373	0.3457	0.2921	0.3412	0.2837		0.3206			0.2975	0.3858						0.4476	0.4098				0.3565		0.3942	0.3759		0.3478		0.3190			0.3582			0.4172	0.3036	0.4400		0.3889			0.2908			0.3311		0.2832	0.3293	0.4030		0.2703			0.3901	0.3333	0.3333	0.3241	0.2818	0.2700		0.3879		0.3509	0.4316	0.4359	0.3333	0.3602	0.3673	0.4958			0.2812	0.3214	0.4444		0.3350		0.3919			0.3000	0.3858	0.3455	0.3459	0.2990		0.3810	0.3431		0.4101	0.3580	0.4662	0.3107	0.3618		0.3107	0.3121	0.3750	0.3614					
